KP,KI,DELAY,SETTLINGTIME
125.1,0.1,0.09,41.88266667
90.1,5.1,0.04,41.8864
80.1,0.1,0.12,41.8908
130.1,0.1,0.11,41.89327273
75.1,0.1,0.11,41.9008
175.1,0.1,0.03,41.9064
85.1,0.1,0.15,41.9264
90.1,5.1,0.05,41.92826667
90.1,5.1,0.06,41.93826667
50.1,5.1,0.03,41.95766667
85.1,0.1,0.16,41.95826667
130.1,0.1,0.12,41.96452632
80.1,0.1,0.13,41.9808
90.1,5.1,0.07,41.9864
90.1,5.1,0.08,41.98992
125.1,0.1,0.1,42.0176
50.1,5.1,0.04,42.018
85.1,0.1,0.17,42.0244
170.1,0.1,0.01,42.0408
75.1,0.1,0.12,42.0488
80.1,0.1,0.14,42.0488
90.1,5.1,0.09,42.0544
90.1,5.1,0.1,42.0544
85.1,0.1,0.18,42.0544
90.1,5.1,0.11,42.1044
90.1,5.1,0.12,42.1044
85.1,0.1,0.19,42.1144
50.1,5.1,0.05,42.1376
30.1,0.1,0.21,42.1488
90.1,5.1,0.13,42.1664
90.1,5.1,0.14,42.1664
30.1,0.1,0.2,42.1688
170.1,0.1,0.02,42.1708
155.1,0.1,0.01,42.1808
30.1,0.1,0.19,42.20024
50.1,5.1,0.06,42.20466667
80.1,0.1,0.15,42.2208
155.1,0.1,0.02,42.2308
30.1,0.1,0.18,42.2308
30.1,0.1,0.17,42.2808
30.1,0.1,0.16,42.3108
155.1,0.1,0.03,42.3208
170.1,0.1,0.03,42.3208
160.1,0.1,0.01,42.3808
165.1,0.1,0.01,42.4008
30.1,0.1,0.15,42.4008
165.1,0.1,0.02,42.4108
170.1,0.1,0.04,42.4164
160.1,0.1,0.02,42.4308
165.1,0.1,0.03,42.4364
30.1,0.1,0.14,42.4508
50.1,5.1,0.07,42.456
110.1,5.1,0.08,42.47333333
50.1,5.1,0.08,42.483
110.1,0.1,0.09,42.484
165.1,0.1,0.04,42.4864
155.1,0.1,0.04,42.4908
80.1,0.1,0.16,42.4908
170.1,0.1,0.05,42.4964
120.1,0.1,0.09,42.4968
125.1,0.1,0.11,42.5
115.1,0.1,0.08,42.52066667
85.1,5.1,0.01,42.5208
160.1,0.1,0.03,42.5208
30.1,0.1,0.13,42.5408
75.1,0.1,0.13,42.5408
170.1,0.1,0.06,42.5664
70.1,0.1,0.14,42.5708
170.1,5.1,0.01,42.57493333
155.1,0.1,0.05,42.5808
125.1,0.1,0.12,42.58136842
165.1,0.1,0.05,42.5864
85.1,5.1,0.02,42.5864
160.1,0.1,0.04,42.5864
30.1,0.1,0.12,42.5908
120.1,0.1,0.1,42.5925
115.1,0.1,0.09,42.601
170.1,5.1,0.02,42.6042
160.1,0.1,0.05,42.6164
85.1,5.1,0.03,42.6264
30.1,0.1,0.11,42.6408
80.1,0.1,0.17,42.6408
170.1,5.1,0.03,42.6442
110.1,5.1,0.09,42.64433333
30.1,0.1,0.1,42.6508
75.1,0.1,0.14,42.6508
85.1,5.1,0.04,42.6564
110.1,0.1,0.1,42.6605
165.1,0.1,0.06,42.6664
125.1,0.1,0.13,42.67442857
110.1,10.1,0.01,42.68070588
120.1,0.1,0.11,42.6824
170.1,5.1,0.04,42.68776
80.1,0.1,0.18,42.6908
115.1,0.1,0.1,42.69453333
85.1,5.1,0.05,42.6964
30.1,0.1,0.09,42.7008
85.1,5.1,0.06,42.7064
160.1,0.1,0.06,42.7064
30.1,0.1,0.08,42.7108
165.1,5.1,0.01,42.71493333
165.1,0.1,0.07,42.7216
125.1,0.1,0.14,42.7216129
170.1,5.1,0.05,42.72976
75.1,0.1,0.15,42.7364
30.1,0.1,0.07,42.7408
70.1,0.1,0.15,42.7408
120.1,0.1,0.12,42.74233333
85.1,5.1,0.07,42.7464
30.1,0.1,0.06,42.7508
165.1,5.1,0.02,42.7516
85.1,5.1,0.08,42.7564
110.1,10.1,0.02,42.76
30.1,0.1,0.05,42.7608
115.1,0.1,0.11,42.76186667
80.1,0.1,0.19,42.7664
30.1,0.1,0.04,42.7708
155.1,0.1,0.06,42.7708
30.1,0.1,0.01,42.7808
30.1,0.1,0.03,42.7808
85.1,5.1,0.09,42.78826667
30.1,0.1,0.02,42.7908
75.1,0.1,0.16,42.7908
165.1,5.1,0.03,42.79493333
85.1,5.1,0.1,42.7964
110.1,0.1,0.11,42.8005
80.1,0.1,0.2,42.80493333
120.1,0.1,0.13,42.82112
160.1,0.1,0.07,42.8264
70.1,0.1,0.16,42.8308
85.1,5.1,0.11,42.83493333
85.1,5.1,0.12,42.83826667
115.1,0.1,0.12,42.84625
165.1,5.1,0.04,42.8516
110.1,10.1,0.03,42.85766667
75.1,0.1,0.17,42.8608
80.1,0.1,0.21,42.8616
85.1,5.1,0.13,42.86826667
85.1,5.1,0.14,42.8716
120.1,0.1,0.14,42.87538462
80.1,5.1,0.01,42.9008
85.1,5.1,0.15,42.90826667
85.1,5.1,0.16,42.9092
75.1,0.1,0.18,42.9108
160.1,5.1,0.01,42.9208
115.1,0.1,0.13,42.924
165.1,5.1,0.05,42.9264
120.1,0.1,0.15,42.96066667
70.1,0.1,0.17,42.9608
80.1,5.1,0.02,42.9708
75.1,0.1,0.19,42.9764
110.1,0.1,0.12,42.9904
160.1,0.1,0.08,43.0288
75.1,0.1,0.2,43.0288
120.1,0.1,0.16,43.03094737
110.1,10.1,0.04,43.0431
115.1,0.1,0.14,43.04755556
80.1,5.1,0.03,43.0608
70.1,0.1,0.18,43.0688
160.1,5.1,0.02,43.0908
80.1,5.1,0.04,43.0908
75.1,0.1,0.21,43.1088
80.1,5.1,0.05,43.2208
80.1,5.1,0.06,43.2308
160.1,10.1,0.01,43.2408
160.1,5.1,0.03,43.2408
155.1,0.1,0.07,43.2608
160.1,10.1,0.02,43.3264
160.1,5.1,0.04,43.3508
105.1,10.1,0.01,43.3855
80.1,5.1,0.07,43.4008
160.1,0.1,0.09,43.4008
80.1,5.1,0.08,43.4108
150.1,0.1,0.07,43.4208
155.1,5.1,0.01,43.4408
155.1,0.1,0.08,43.4708
160.1,5.1,0.05,43.4864
155.1,5.1,0.02,43.4964
105.1,10.1,0.02,43.49828571
145.1,0.1,0.08,43.5108
80.1,5.1,0.1,43.5108
80.1,5.1,0.09,43.5208
105.1,5.1,0.11,43.5255
160.1,0.1,0.1,43.5264
160.1,5.1,0.06,43.53826667
70.1,0.1,0.19,43.5408
155.1,10.1,0.01,43.5416
205.1,0.1,0.01,43.544
150.1,0.1,0.08,43.5508
155.1,5.1,0.03,43.5564
80.1,5.1,0.12,43.5708
155.1,0.1,0.09,43.5764
80.1,5.1,0.11,43.5808
115.1,0.1,0.15,43.58114286
105.1,10.1,0.03,43.58355556
105.1,0.1,0.12,43.588
155.1,10.1,0.02,43.5892
65.1,0.1,0.19,43.6008
150.1,5.1,0.01,43.6016
155.1,5.1,0.04,43.60493333
160.1,5.1,0.07,43.60826667
110.1,0.1,0.13,43.611
100.1,10.1,0.01,43.62646154
80.1,5.1,0.14,43.6308
155.1,10.1,0.03,43.63493333
80.1,5.1,0.13,43.6364
145.1,0.1,0.09,43.6408
200.1,0.1,0.01,43.64085714
150.1,5.1,0.02,43.6464
160.1,5.1,0.08,43.6492
70.1,0.1,0.2,43.6508
115.1,0.1,0.16,43.6547619
105.1,10.1,0.04,43.65571429
150.1,0.1,0.09,43.6564
75.1,5.1,0.01,43.6608
155.1,5.1,0.05,43.6616
100.1,5.1,0.12,43.663
155.1,0.1,0.1,43.66493333
200.1,0.1,0.02,43.67014286
80.1,5.1,0.16,43.6764
80.1,5.1,0.15,43.6764
155.1,10.1,0.04,43.6792
110.1,0.1,0.14,43.69188235
105.1,0.1,0.13,43.69454545
150.1,5.1,0.03,43.6964
100.1,10.1,0.02,43.701
155.1,5.1,0.06,43.70493333
150.1,10.1,0.01,43.70826667
200.1,0.1,0.03,43.71089655
160.1,5.1,0.09,43.7142
75.1,5.1,0.02,43.7164
80.1,5.1,0.17,43.7216
65.1,0.1,0.2,43.7308
105.1,10.1,0.05,43.73236364
145.1,5.1,0.01,43.7408
195.1,0.1,0.01,43.74244444
100.1,0.1,0.14,43.746
115.1,0.1,0.17,43.74637037
140.1,0.1,0.1,43.7508
150.1,10.1,0.02,43.7516
150.1,5.1,0.04,43.7564
150.1,0.1,0.1,43.7564
70.1,0.1,0.21,43.7608
75.1,5.1,0.03,43.7664
155.1,5.1,0.07,43.76826667
110.1,0.1,0.15,43.7684
195.1,0.1,0.02,43.77776471
100.1,10.1,0.03,43.79272727
105.1,10.1,0.06,43.7953913
75.1,5.1,0.04,43.7964
105.1,0.1,0.14,43.80415385
145.1,5.1,0.02,43.8064
150.1,10.1,0.03,43.80826667
145.1,0.1,0.1,43.8108
155.1,5.1,0.08,43.8116
150.1,5.1,0.05,43.8164
110.1,0.1,0.16,43.82872727
195.1,0.1,0.03,43.83786667
75.1,5.1,0.05,43.8408
65.1,0.1,0.21,43.8408
75.1,5.1,0.06,43.8564
150.1,10.1,0.04,43.86493333
100.1,5.1,0.13,43.8655
150.1,0.1,0.11,43.8664
140.1,5.1,0.01,43.8808
45.1,5.1,0.01,43.88266667
155.1,5.1,0.09,43.8842
150.1,5.1,0.06,43.8864
105.1,0.1,0.15,43.89723077
75.1,5.1,0.07,43.9008
190.1,0.1,0.01,43.91
75.1,5.1,0.08,43.9164
145.1,5.1,0.03,43.9208
110.1,0.1,0.17,43.92327273
100.1,10.1,0.04,43.94
45.1,5.1,0.02,43.941
150.1,10.1,0.05,43.9464
145.1,10.1,0.01,43.9608
75.1,5.1,0.09,43.9608
75.1,5.1,0.1,43.9664
150.1,0.1,0.12,43.9764
110.1,0.1,0.18,43.98147826
195.1,0.1,0.04,43.9829
150.1,5.1,0.07,43.9864
45.1,5.1,0.03,43.9948
145.1,5.1,0.04,44.0088
190.1,0.1,0.02,44.016
105.1,0.1,0.16,44.0235
75.1,5.1,0.11,44.0244
75.1,5.1,0.12,44.0244
45.1,5.1,0.04,44.0335
75.1,5.1,0.13,44.0744
75.1,5.1,0.14,44.0744
45.1,5.1,0.05,44.098
110.1,0.1,0.19,44.1005
45.1,5.1,0.06,44.108
75.1,5.1,0.15,44.1288
75.1,5.1,0.16,44.1288
175.1,5.1,0.01,44.14
150.1,5.1,0.08,44.1508
145.1,5.1,0.05,44.1608
45.1,5.1,0.08,44.17333333
75.1,5.1,0.18,44.1744
45.1,5.1,0.07,44.18
75.1,5.1,0.17,44.18024
110.1,0.1,0.2,44.18233333
195.1,0.1,0.05,44.21333333
190.1,0.1,0.03,44.2256
75.1,5.1,0.19,44.2364
45.1,5.1,0.1,44.2396
180.1,0.1,0.01,44.249
45.1,5.1,0.12,44.25666667
175.1,5.1,0.02,44.259
45.1,5.1,0.09,44.259
145.1,10.1,0.02,44.2708
145.1,0.1,0.11,44.2808
180.1,5.1,0.01,44.28457143
185.1,5.1,0.01,44.29818182
140.1,5.1,0.02,44.3108
45.1,5.1,0.11,44.324
180.1,0.1,0.02,44.32666667
70.1,5.1,0.01,44.3408
150.1,0.1,0.13,44.3408
175.1,0.1,0.04,44.34466667
45.1,5.1,0.13,44.354
45.1,5.1,0.14,44.354
145.1,10.1,0.03,44.3608
185.1,5.1,0.02,44.37257143
95.1,10.1,0.01,44.3776
140.1,0.1,0.11,44.3808
175.1,5.1,0.03,44.38666667
185.1,0.1,0.02,44.38766667
190.1,0.1,0.04,44.38786667
180.1,0.1,0.03,44.41511111
185.1,0.1,0.03,44.41569231
140.1,5.1,0.03,44.4208
145.1,10.1,0.04,44.4264
180.1,5.1,0.02,44.42876923
135.1,5.1,0.01,44.4408
185.1,5.1,0.03,44.44610526
145.1,5.1,0.06,44.4508
150.1,5.1,0.09,44.4608
105.1,0.1,0.17,44.468
70.1,5.1,0.02,44.4708
185.1,0.1,0.04,44.4775
130.1,0.1,0.13,44.4808
175.1,0.1,0.05,44.4856
140.1,10.1,0.01,44.4864
135.1,5.1,0.02,44.4908
180.1,5.1,0.03,44.49717647
95.1,5.1,0.13,44.499
100.1,10.1,0.05,44.50338462
190.1,0.1,0.05,44.504
