KP,KI,DELAY,SETTLINGTIME
180.1,5.1,0.02,44.42876923
180.1,10.1,0.02,47.5908
185.1,0.1,0.02,44.38766667
185.1,5.1,0.02,44.37257143
185.1,10.1,0.02,47.5108
190.1,0.1,0.02,44.016
190.1,5.1,0.02,46.8108
190.1,10.1,0.02,47.3708
195.1,0.1,0.02,43.77776471
195.1,5.1,0.02,46.6908
195.1,10.1,0.02,46.9308
200.1,0.1,0.02,43.67014286
200.1,5.1,0.02,46.5864
200.1,10.1,0.02,46.7142
205.1,0.1,0.02,45.4308
205.1,5.1,0.02,46.5116
205.1,10.1,0.02,48.70066667
210.1,0.1,0.02,45.7308
210.1,5.1,0.02,48.166
210.1,10.1,0.02,51.3508
215.1,0.1,0.02,45.6316
215.1,5.1,0.02,48.33622222
215.1,10.1,0.02,51.2908
220.1,0.1,0.02,47.964
220.1,5.1,0.02,50.3308
220.1,10.1,0.02,50.98992
225.1,0.1,0.02,47.806
225.1,5.1,0.02,50.5064
225.1,10.1,0.02,50.7364
230.1,0.1,0.02,47.69713043
230.1,5.1,0.02,50.4464
235.1,0.1,0.02,47.59981818
235.1,5.1,0.02,50.2508
240.1,0.1,0.02,49.5764
245.1,0.1,0.02,51.9596
15.1,0.1,0.03,52.8408
20.1,0.1,0.03,48.6008
20.1,5.1,0.03,90.7808
25.1,0.1,0.03,74.54
25.1,5.1,0.03,73.6096
30.1,0.1,0.03,42.7808
30.1,5.1,0.03,59.6808
35.1,0.1,0.03,40.7608
35.1,5.1,0.03,49.42333333
40.1,0.1,0.03,39.03044
40.1,5.1,0.03,46.72375
45.1,0.1,0.03,37.78826667
45.1,5.1,0.03,43.9948
45.1,10.1,0.03,57.7175
50.1,0.1,0.03,36.8016
50.1,5.1,0.03,41.95766667
50.1,10.1,0.03,55.533
55.1,0.1,0.03,35.8392
55.1,5.1,0.03,46.1008
55.1,10.1,0.03,53.469
60.1,0.1,0.03,38.61818182
60.1,5.1,0.03,45.7208
60.1,10.1,0.03,51.61955556
65.1,0.1,0.03,38.54492308
65.1,5.1,0.03,45.0244
65.1,10.1,0.03,49.85
70.1,0.1,0.03,38.028
70.1,5.1,0.03,44.5408
70.1,10.1,0.03,48.71733333
75.1,0.1,0.03,37.74733333
75.1,5.1,0.03,43.7664
75.1,10.1,0.03,47.664
80.1,0.1,0.03,37.50125
80.1,5.1,0.03,43.0608
80.1,10.1,0.03,46.6668
80.1,15.1,0.03,51.5008
85.1,0.1,0.03,40.6608
85.1,5.1,0.03,42.6264
85.1,10.1,0.03,45.72177778
85.1,15.1,0.03,50.5008
90.1,0.1,0.03,40.6164
90.1,5.1,0.03,41.8664
90.1,10.1,0.03,44.879
95.1,0.1,0.03,40.4208
95.1,5.1,0.03,41.5664
95.1,10.1,0.03,44.61653333
100.1,0.1,0.03,39.8364
100.1,5.1,0.03,40.8416
100.1,10.1,0.03,43.79272727
105.1,0.1,0.03,39.6964
105.1,5.1,0.03,40.57493333
105.1,10.1,0.03,43.58355556
110.1,0.1,0.03,39.5416
110.1,5.1,0.03,39.87493333
110.1,10.1,0.03,42.85766667
110.1,15.1,0.03,47.3408
115.1,0.1,0.03,38.9264
115.1,5.1,0.03,39.6692
115.1,10.1,0.03,45.5208
115.1,15.1,0.03,46.6864
120.1,0.1,0.03,38.7442
120.1,5.1,0.03,39.2208
120.1,10.1,0.03,45.7208
120.1,15.1,0.03,46.3208
125.1,0.1,0.03,38.5942
125.1,5.1,0.03,38.7968
125.1,10.1,0.03,45.6008
125.1,15.1,0.03,45.7564
130.1,0.1,0.03,40.7005
130.1,5.1,0.03,44.6208
130.1,10.1,0.03,45.3808
130.1,15.1,0.03,45.5364
135.1,0.1,0.03,40.70586667
135.1,5.1,0.03,44.5608
135.1,10.1,0.03,44.7864
140.1,0.1,0.03,40.6415
140.1,5.1,0.03,44.4208
140.1,10.1,0.03,44.5964
145.1,0.1,0.03,40.54769231
145.1,5.1,0.03,43.9208
145.1,10.1,0.03,44.3608
150.1,0.1,0.03,40.40541176
150.1,5.1,0.03,43.6964
150.1,10.1,0.03,43.80826667
155.1,0.1,0.03,42.3208
155.1,5.1,0.03,43.5564
155.1,10.1,0.03,43.63493333
160.1,0.1,0.03,42.5208
160.1,5.1,0.03,43.2408
160.1,10.1,0.03,45.3536
165.1,0.1,0.03,42.4364
165.1,5.1,0.03,42.79493333
165.1,10.1,0.03,45.464
170.1,0.1,0.03,42.3208
170.1,5.1,0.03,42.6442
175.1,0.1,0.03,41.9064
175.1,5.1,0.03,44.38666667
180.1,0.1,0.03,44.41511111
180.1,5.1,0.03,44.49717647
185.1,0.1,0.03,44.41569231
185.1,5.1,0.03,44.44610526
190.1,0.1,0.03,44.2256
190.1,5.1,0.03,47.2008
195.1,0.1,0.03,43.83786667
195.1,5.1,0.03,46.7564
200.1,0.1,0.03,43.71089655
200.1,5.1,0.03,46.6364
200.1,10.1,0.03,49.14133333
205.1,0.1,0.03,45.7808
205.1,5.1,0.03,46.5416
205.1,10.1,0.03,48.7055
210.1,0.1,0.03,45.7608
210.1,5.1,0.03,48.37885714
210.1,10.1,0.03,51.4564
215.1,0.1,0.03,48.2736
215.1,5.1,0.03,48.45125
215.1,10.1,0.03,51.3964
220.1,0.1,0.03,48.1816
220.1,5.1,0.03,50.5008
220.1,10.1,0.03,51.1608
225.1,0.1,0.03,47.9048
225.1,5.1,0.03,50.5408
230.1,0.1,0.03,47.75234783
230.1,5.1,0.03,50.5164
235.1,0.1,0.03,49.2808
240.1,0.1,0.03,52.184
15.1,0.1,0.04,52.8308
20.1,0.1,0.04,48.5908
20.1,5.1,0.04,90.8318
25.1,0.1,0.04,74.551
25.1,5.1,0.04,73.667
30.1,0.1,0.04,42.7708
30.1,5.1,0.04,59.7308
35.1,0.1,0.04,40.7508
35.1,5.1,0.04,49.35133333
40.1,0.1,0.04,39.0088
40.1,5.1,0.04,46.72625
45.1,0.1,0.04,37.78493333
45.1,5.1,0.04,44.0335
45.1,10.1,0.04,57.75
50.1,0.1,0.04,36.7964
50.1,5.1,0.04,42.018
50.1,10.1,0.04,55.5988
55.1,0.1,0.04,35.8392
55.1,5.1,0.04,46.3708
55.1,10.1,0.04,53.5655
60.1,0.1,0.04,38.68266667
60.1,5.1,0.04,45.7708
60.1,10.1,0.04,51.69
65.1,0.1,0.04,38.60375
65.1,5.1,0.04,45.0908
65.1,10.1,0.04,49.9844
70.1,0.1,0.04,38.15133333
70.1,5.1,0.04,44.5908
70.1,10.1,0.04,48.80288889
75.1,0.1,0.04,37.77992
75.1,5.1,0.04,43.7964
75.1,10.1,0.04,47.7528
80.1,0.1,0.04,40.4108
80.1,5.1,0.04,43.0908
80.1,10.1,0.04,46.74636364
80.1,15.1,0.04,51.6508
85.1,0.1,0.04,40.7308
85.1,5.1,0.04,42.6564
85.1,10.1,0.04,45.838
90.1,0.1,0.04,40.6708
90.1,5.1,0.04,41.8864
90.1,10.1,0.04,45.54433333
